,region,file_name,treeID,Model,point2tree_area,voxel_volume,convex_hull_volume,voxel_area,Iteration,point2tree_volume,Recon_iter,Precision,Recall,F1 Score,graham_volume,graham_Area,convex_hull_area,density_points_per_m2,num_point,bounding_box_area_m2,file
32,CULS,./CULS/plot_3_annotated.las,3108,tree_34,28.42659508,58.896,157.4586018,27.08,3400,75.78926852,3400,0.924966266,0.78011,0.846384937,87.39992766,19.73494103,28.215031,1836.334615,69662,37.935352,plot_3_annotated.las
33,CULS,./CULS/plot_3_annotated.las,3109,tree_35,24.11545319,33.632,105.8367686,22.6,3400,49.70672412,3400,0.943955439,0.71552,0.814015056,51.65809231,16.51588605,24.6302415,1127.647319,43626,38.687628,plot_3_annotated.las
34,CULS,./CULS/plot_3_annotated.las,3110,tree_36,13.98549576,28.968,83.98443631,13.88,3400,39.56116849,3400,0.950683611,0.74395,0.834706768,35.03859025,10.57229396,14.105391,1164.632147,29037,24.932336,plot_3_annotated.las
35,CULS,./CULS/plot_3_annotated.las,3111,tree_37,29.72406454,42.544,155.7161003,28.36,3400,61.99399628,3400,0.931625913,0.72617,0.816166554,59.19394275,19.30351469,31.5458895,962.136661,43145,44.842902,plot_3_annotated.las
36,CULS,./CULS/plot_3_annotated.las,3112,tree_38,22.90173923,35.528,90.32046032,23.36,3400,39.13285127,3400,0.935123043,0.82898,0.878858299,47.28052043,16.45728472,25.124317,1111.569524,39336,35.3878,plot_3_annotated.las
37,CULS,./CULS/plot_3_annotated.las,3113,tree_39,34.4067127,55.656,229.1654834,30.72,3400,131.2837498,3400,0.904950198,0.57723,0.704859508,79.38243762,25.31634442,31.369824,1431.238787,59937,41.877708,plot_3_annotated.las
38,CULS,./CULS/plot_3_annotated.las,3114,tree_40,15.97790929,24.744,65.91003932,15.72,3400,29.32026053,3400,0.965295576,0.79289,0.870639846,30.5263037,10.41986214,15.7094705,1070.825615,23801,22.226775,plot_3_annotated.las
39,CULS,./CULS/plot_3_annotated.las,3115,tree_41,32.37853171,48.368,198.0467405,29.4,3400,89.62151628,3400,0.919543337,0.64489,0.758107474,78.66649503,14.31007244,32.556239,1006.388752,48088,47.78272801,plot_3_annotated.las
40,CULS,./CULS/plot_3_annotated.las,3116,tree_42,21.77688535,34.496,117.0869472,20.24,3400,63.97324789,3400,0.921900619,0.60423,0.73000306,45.16651548,14.56264174,22.117331,979.1256697,29885,30.522129,plot_3_annotated.las
41,CULS,./CULS/plot_3_annotated.las,3117,tree_43,35.26573889,79.032,223.8467743,32.0,3400,137.0656357,3400,0.886745088,0.69211,0.777430617,115.7178298,22.09300409,32.832433,1714.821558,76085,44.369048,plot_3_annotated.las
